session,time,GPS Longitude,GPS Latitude,GPS Speed,GPS Bearing,k2241a3,k228334,k22242c,k2241b6,k2241b4,k222414,ke16f08,ke3f60e,k222885,k15b,k221942,k22c218,kea5b10,k22000d
1524876248474,1524876297559,-121.95496671,38.36213937,0.0,0.0,60.566666,31.37255,0.0,0.0,0.0,21.0,7.2288303,895.2628,344.23,34.901962,919.125,3.591156,1.56,8.074534
1524876248474,1524876298559,-121.95496871,38.36213906,0.0,0.0,60.566666,31.37255,0.0,0.0,0.0,19.5,6.71853,676.0521,344.54,34.901962,919.125,3.591156,1.56,9.937888
1524876248474,1524876299559,-121.95516587,38.36206088,17.064,230.2,60.566666,31.37255,0.0,0.0,0.0,19.5,6.71853,600.9352,344.54,34.901962,1061.625,3.5905457,1.56,11.180124
1524876248474,1524876300560,-121.95521064,38.36202906,18.324,227.3,60.566666,31.37255,0.0,0.0,0.0,10.2,3.5240998,298.6211,345.5,34.901962,1127.5,3.5948944,1.56,11.801242
1524876248474,1524876301559,-121.95525584,38.36200076,18.756,226.0,60.566666,31.37255,0.0,0.0,0.0,2.7,0.93285,83.43825,345.5,34.901962,1119.375,3.5993195,1.56,11.180124
1524876248474,1524876302560,-121.95529411,38.36196939,18.504,226.8,60.566666,31.37255,0.0,0.0,0.0,6.3,2.178603,194.86394,345.81,34.901962,1079.125,3.5968018,1.56,11.180124
1524876248474,1524876303559,-121.95533706,38.36193765,18.504,226.8,60.566666,31.37255,0.0,0.0,0.0,-2.95,-1.0200806,-96.60763,345.79,34.901962,1060.5,3.6042786,1.56,10.559006
1524876248474,1524876304560,-121.95534901,38.3619334,6.0119996,221.0,60.566666,31.37255,0.0,0.0,0.0,-1.45,-0.501642,-50.477726,345.96,34.901962,1009.0,3.6023712,1.56,9.937888
1524876248474,1524876305559,-121.95535766,38.36192749,7.5959992,223.1,60.566666,31.37255,0.0,0.0,0.0,-0.85,-0.2939045,-29.57414,345.77,34.901962,942.25,3.6017609,1.56,9.937888
1524876248474,1524876306562,-121.95538332,38.36190572,15.587999,219.0,60.566666,31.37255,0.0,0.0,0.0,3.0,1.03644,111.24456,345.48,34.901962,919.5,3.5999298,1.56,9.316771
1524876248474,1524876307559,-121.95542727,38.36187283,17.171999,222.2,60.566666,31.37255,0.0,0.0,0.0,-8.35,-2.8950286,-310.73306,346.71,34.901962,820.5,3.6005402,1.56,9.316771
1524876248474,1524876308559,-121.95551615,38.36183198,15.84,228.0,60.566666,31.37255,0.0,0.0,0.0,-2.35,-0.81227744,-100.597435,345.65,34.901962,820.5,3.6005402,1.56,8.074534
1524876248474,1524876309559,-121.95557601,38.36180161,11.448,227.7,60.566666,31.37255,0.0,0.0,0.0,-2.35,-0.81227744,-118.88788,345.65,34.901962,679.125,3.6054993,1.56,6.8322983
1524876248474,1524876310559,-121.95560233,38.36177509,11.987999,225.0,60.566666,31.37255,0.0,0.0,0.0,23.7,8.162755,876.1357,344.42,34.901962,820.75,3.5886383,1.56,9.316771
1524876248474,1524876311559,-121.9556499,38.36177185,14.58,252.5,60.566666,31.37255,0.0,0.0,0.0,37.8,12.958973,1098.1024,342.83,34.901962,1087.75,3.5792542,1.56,11.801242
1524876248474,1524876312560,-121.95571246,38.36174966,20.664,242.9,60.566666,31.37255,0.0,0.0,0.0,37.2,12.746952,892.2867,342.66,34.901962,1325.625,3.5768127,1.56,14.285714
1524876248474,1524876313559,-121.95574136,38.36169802,23.22,228.5,60.566666,31.37255,0.0,0.0,0.0,32.7,11.231142,723.2855,343.46,34.901962,1508.375,3.5786438,1.56,15.52795
1524876248474,1524876314560,-121.95576531,38.36162682,25.596,224.9,60.566666,31.37255,0.0,0.0,0.0,-15.25,-5.284735,-340.33694,346.54,34.901962,1452.875,3.6005402,1.56,15.52795
1524876248474,1524876315559,-121.95582683,38.36158745,25.199999,223.3,60.566666,31.37255,0.0,0.0,0.0,-6.55,-2.266038,-152.01338,345.96,34.901962,1356.125,3.6005402,1.56,14.906833
1524876248474,1524876316560,-121.95587452,38.36154956,23.147999,228.6,60.566666,31.37255,0.0,0.0,0.0,-4.45,-1.5395219,-112.66501,345.64,34.901962,1356.125,3.6042786,1.56,13.664597
1524876248474,1524876317559,-121.95593639,38.36151851,21.887999,227.1,60.566666,31.37255,0.0,0.0,0.0,-4.45,-1.538098,-117.920845,345.64,34.901962,1262.875,3.6030579,1.56,13.043478
1524876248474,1524876318559,-121.95598922,38.3614845,20.772,225.9,60.566666,31.37255,0.0,0.0,0.0,-3.55,-1.2258505,-103.874695,345.31,34.901962,1204.5,3.6023712,1.56,11.801242
1524876248474,1524876319559,-121.95603352,38.3614469,19.872,226.4,60.566666,31.37255,0.0,0.0,0.0,-2.65,-0.9142235,-81.77222,344.99,34.901962,1133.125,3.6023712,1.56,11.180124
1524876248474,1524876320559,-121.95607827,38.36142005,18.647999,225.9,60.566666,31.37255,0.0,0.0,0.0,-1.45,-0.501149,-47.461758,345.62,34.901962,1073.0,3.6011505,1.56,10.559006
1524876248474,1524876321559,-121.95611531,38.36138319,17.855999,218.7,60.566666,31.37255,0.0,0.0,0.0,-12.55,-4.3450613,-411.50284,346.22,34.901962,934.125,3.6074066,1.56,10.559006
1524876248474,1524876322559,-121.95613934,38.36135852,15.587999,215.8,60.566666,31.37255,0.0,0.0,0.0,-2.95,-1.0200214,-109.48231,345.77,34.901962,834.125,3.6036682,1.56,9.316771
1524876248474,1524876323559,-121.95616999,38.36132621,14.004,219.9,60.566666,31.37255,0.0,0.0,0.0,6.9,2.382777,295.09775,345.33,34.901962,828.0,3.5980225,1.56,8.074534
1524876248474,1524876324560,-121.95621864,38.36131173,14.076,207.8,60.566666,31.37255,0.0,0.0,0.0,15.3,5.273757,606.48206,344.69,34.901962,828.0,3.5980225,1.56,8.695652
1524876248474,1524876325560,-121.95624552,38.36128508,14.615999,219.5,60.566666,31.37255,0.0,0.0,0.0,15.3,5.273757,530.6718,344.69,34.901962,922.625,3.5917664,1.56,9.937888
1524876248474,1524876326560,-121.95628498,38.36126536,14.328,232.4,60.566666,31.37255,0.0,0.0,0.0,10.8,3.729564,353.21164,345.33,34.901962,1010.25,3.5948944,1.56,10.559006
1524876248474,1524876327560,-121.95632827,38.3612589,13.068,262.5,60.566666,31.37255,0.0,0.0,0.0,13.2,4.5460796,430.5405,344.4,34.901962,1017.0,3.5930634,1.56,10.559006
1524876248474,1524876328560,-121.95637375,38.36127006,14.724,289.1,60.566666,31.37255,0.0,0.0,0.0,15.6,5.372484,508.80588,344.39,34.901962,1089.25,3.5923767,1.56,10.559006
1524876248474,1524876329559,-121.95641715,38.36128739,14.292,285.9,60.566666,31.37255,0.0,0.0,0.0,15.6,5.372484,480.53888,344.39,34.901962,1089.25,3.5923767,1.56,11.180124
1524876248474,1524876330559,-121.9564635,38.36131264,17.208,300.9,60.566666,31.37255,0.0,0.0,0.0,14.7,5.067237,407.91257,344.71,34.901962,1182.5,3.5917664,1.56,12.42236
